sample	reads	bps	layer	date	year	month	day	note	timepoint
IHWX	9589080	2054399624	Hypolimnion	7/1/2008	2008	7	1		A
IHWW	4149315	896531905	Hypolimnion	7/8/2008	2008	7	8		A
IHXP	14530892	3157963623	Hypolimnion	7/15/2008	2008	7	15		B
IHXT	9560844	2134565324	Hypolimnion	7/22/2008	2008	7	22		B
IHXH	8498462	1818080350	Hypolimnion	7/29/2008	2008	7	29		B
IHXA	7836070	1733914789	Hypolimnion	8/5/2008	2008	8	5		B
IHXF	5095520	1131822927	Hypolimnion	8/12/2008	2008	8	12		B
IHXU	6258676	1351877737	Hypolimnion	8/19/2008	2008	8	19		B
IHXS	7213339	1560291546	Hypolimnion	8/25/2008	2008	8	25		C
IHXX	9324966	2008140074	Hypolimnion	9/9/2008	2008	9	9		C
IHPO	3302507	724004244	Hypolimnion	9/20/2008	2008	9	20		C
IHWP	11182694	2430252063	Hypolimnion	10/4/2008	2008	10	4		C
IHPN	9232161	1978530700	Hypolimnion	10/23/2008	2008	10	23		C
IHWT	9220427	2018911602	Hypolimnion	5/29/2009	2009	5	29		A
IHTZ	14080581	2931959657	Hypolimnion	6/3/2009	2009	6	3		A
IHXY	8169605	1725473164	Hypolimnion	6/15/2009	2009	6	15		A
IHUN	11495928	2449086088	Hypolimnion	6/23/2009	2009	6	23		A
IHUO	8365964	1745220927	Hypolimnion	6/29/2009	2009	6	29		A
IHUP	11981263	2557580219	Hypolimnion	7/7/2009	2009	7	7		A
IHUA	10939925	2297592555	Hypolimnion	7/13/2009	2009	7	13		A
IHUB	4407018	917718303	Hypolimnion	7/21/2009	2009	7	21		B
IHUC	9714025	2042797905	Hypolimnion	7/27/2009	2009	7	27		B
IHUH	7410276	1520796010	Hypolimnion	8/3/2009	2009	8	3		B
IHUI	5489435	1107508420	Hypolimnion	8/11/2009	2009	8	11		B
IHUF	10084366	2133116346	Hypolimnion	8/18/2009	2009	8	18		B
