	TBE07Jun07	TBE13Jun07	TBE27Jun07	TBE02Jul07	TBE12Jul07	TBE25Jul07	TBE31Jul07	TBE09Aug07	TBE20Aug07	TBE27Aug07	TBE17Sep07	TBE01Oct07	TBE16Oct07	TBE05Nov07	TBE14Nov07	TBE30Apr08	TBE22May08	TBE29May08	TBE13Jun08	TBE24Jun08	TBE01Jul08	TBE08Jul08	TBE15Jul08	TBE22Jul08	TBE29Jul08	TBE05Aug08	TBE12Aug08	TBE19Aug08	TBE25Aug08	TBE09Sep08	TBE20Sep08	TBE04Oct08	TBE23Oct08	TBE29May09	TBE03Jun09	TBE08Jun09	TBE23Jun09	TBE29Jun09	TBE07Jul09	TBE13Jul09	TBE21Jul09	TBE27Jul09	TBE03Aug09	TBE11Aug09	TBE18Aug09
TE01196|TBL_comb48_EPIDRAFT_1019198	1.37439	1.67701	5.04799	7.70155	7.96162	0.0221831	0.129213	3.2514	3.07238	5.3164	3.03352	0.290503	2.22977	4.36507	13.3273	1.05123	0.32733	0	0.635504	2.50529	4.55007	0.273112	4.52523	0.157505	19.2044	4.02707	0.690526	2.961	6.98447	2.223	1.67278	2.0257	11.165	0.83169	1.39795	0.0706714	3.15987	2.77042	2.6945	1.62034	0	0.0231417	0	0.228521	0.48454
TE01196|TBL_comb48_EPIDRAFT_1020125	3.55713	2.18635	5.35683	8.83138	10.8747	0.67619	0.48393	4.73888	5.3739	5.55284	4.80901	0.471314	1.74707	6.64181	22.2226	2.99635	0.653931	0	2.61289	4.20308	5.5752	0.924743	6.61917	0.0747801	22.764	6.57388	1.50073	4.60197	11.3884	3.87464	4.29824	2.85055	20.7043	1.3978	2.17524	0.130147	3.97624	4.41795	4.79179	2.04868	0.0701754	0	0.378477	0.782051	1.22551
TE01196|TBL_comb48_EPIDRAFT_1020899	2.23997	1.62079	5.77147	9.44277	9.67082	1.037	0.537448	4.7407	4.25989	4.61697	4.51889	0.931163	2.20256	5.98117	16.0288	1.59458	0	0	1.69268	3.48999	6.69301	0.893303	5.68795	0.32943	23.077	6.60912	1.19067	2.91412	10.9058	3.93169	2.61928	2.43337	13.5981	0.521706	1.51988	0.104585	2.85612	2.87693	4.34643	2.43644	0.321657	0	0.0694078	0.271801	0.774388
TE01196|TBL_comb48_EPIDRAFT_1022190	2.46288	2.83745	5.29785	9.11584	8.81862	0.36794	0.482554	4.16469	4.06349	5.30538	4.36249	1.06422	1.07353	7.38135	19.8424	1.41878	0.692737	0.0828729	1.95692	2.47134	6.14382	0.7189	6.61234	0.125	24.3911	7.59055	1.53011	3.18095	10.4928	3.88994	3.78725	2.89817	19.457	0.427605	1.63767	0	3.49405	3.27327	3.45422	2.52981	0.100794	0.178543	0.0699523	0.470167	0.337698
TE01196|TBL_comb48_EPIDRAFT_1023685	1.73177	2.51269	7.17401	11.4615	9.9962	0.773649	0.199074	6.27311	5.75611	5.39756	5.50167	0.365803	1.33924	8.61752	18.8343	2.15475	0.563559	0	1.89388	2.13779	5.76269	0.595682	7.21704	0.323331	27.4592	6.31197	1.3238	4.80286	11.0745	4.33153	4.46277	3.34079	17.0051	0.642736	1.23136	0	3.49537	3.82348	3.71048	2.63966	0.182814	0	0.527848	0.362331	0.322241
TE01196|TBL_comb48_EPIDRAFT_1025411	1.70418	1.33154	4.28867	5.78366	6.09327	0	0.311439	3.49911	2.37299	3.16399	2.90195	0.460515	2.46505	4.67218	12.5482	1.05313	0.213771	0	1.23375	1.58034	4.48922	0.388489	5.30793	0.218133	20.7899	5.24261	1.35268	2.26923	7.20459	4.03496	2.40881	1.61704	10.6981	0.315247	1.28938	0	2.92084	3.01435	2.74551	0.816756	0.0898927	0	0.094534	0.261435	0.317531
TE01295|TBL_comb48_EPIDRAFT_1000792	0.316736	2.54449	13.317	12.1902	5.57765	1.37136	1.79789	3.1502	3.48508	9.10354	12.8897	0.642632	3.86014	4.11795	1.24455	0	0.0510907	0.00608897	0.259135	8.09059	4.22415	0.423163	2.19693	0.0843698	11.2586	2.38858	0.664139	1.19595	3.10943	2.33459	4.42251	3.21371	14.143	14.2674	12.7295	0.723623	11.4201	5.82265	13.3979	11.3089	0.508165	0.328499	1.30542	2.13515	3.16309
TE01295|TBL_comb48_EPIDRAFT_1001023	0.20944	2.30028	10.2995	8.7756	3.4982	0.772891	1.09057	2.49423	2.68022	6.73163	10.1443	0.339698	2.61462	3.27159	1.23443	0.0114937	0.0847433	0.0114882	0.197779	6.3866	2.86625	0.165061	1.94613	0.080023	8.08562	1.88537	0.563096	1.19759	2.31397	1.72126	3.76666	2.29615	10.4636	10.2431	9.45947	0.513925	8.6876	4.84792	11.9632	9.63326	0.443598	0.158885	0.918555	1.68286	2.34502
TE01295|TBL_comb48_EPIDRAFT_1001194	0.238977	1.90016	9.74434	9.01071	4.2539	0.964786	1.15664	2.15797	2.70668	6.11333	9.10399	0.434771	3.02372	3.16027	0.995327	0.0506163	0.0276159	0	0.115306	6.338	3.12246	0.161636	1.77377	0.122395	7.8628	1.85849	0.639444	0.80746	2.49709	1.98161	3.58417	2.32417	10.3777	9.82083	9.2056	0.581833	8.13425	4.27793	12.1305	9.18119	0.425529	0.24094	0.804691	1.58893	2.26882
TE01295|TBL_comb48_EPIDRAFT_1001745	0.360737	2.83429	13.8122	12.7114	5.27454	1.36083	1.63523	2.51098	3.30785	8.37489	14.0373	0.773452	3.8636	4.67861	1.86201	0.0576043	0.0133543	0	0.230065	8.61641	4.26047	0.254876	2.24918	0.0989399	11.3507	2.51217	0.653982	1.14323	2.78721	2.24644	4.75576	3.01302	17.2003	14.4539	14.2976	0.684955	13.8283	6.25275	11.6648	12.5546	0.72361	0.371077	1.40547	2.39263	3.31177
