Nitrogen Degradation,Urea degradation,50,50,100,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,100,,100,,,,100,,,,100,,,,100,,,,,,,,100,,,,,,,,,,,100,,,,100,,100,,50,,,100,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,100,,,,,,,,,50,100,,,50,100,,,100,,,,,,,,100,,,100,,,
Complex Carbon Degradation,Cyanophycin degradation,50,50,100,,100,,,100,,,100,100,,,,,,,,,100,,100,100,,100,,,,100,100,100,100,,,,100,100,100,,100,100,,100,100,100,,,,,,100,100,100,,,,100,100,,,,,,,,,100,,100,,,,100,,100,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,100,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,100,100,,,,,100,,,100,,100,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complex Carbon Degradation,NAG degradation,67,,,,67,,,,67,,,,,,,,,,,,67,67,,,67,67,,67,,,,,,,,,,,,,,67,,,67,,,,,,,,,,,67,67,,67,67,,,67,,,,67,,67,67,,67,67,67,67,67,,67,,,,,,,,,,,,,,,,,,67,,,67,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,67,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complex Carbon Degradation,Benzene-related degradation,50,,50,50,,50,50,50,,50,50,50,50,,50,50,50,,50,,,,,,50,50,50,50,,,,,,,,,,,50,,,,,,50,,50,,,50,50,,50,50,,,,,,,,,,,50,,,,,50,50,50,50,50,,50,,50,,50,50,100,,,50,,50,,,50,,,,,,,,,,,100,,,50,50,50,50,50,50,50,50,50,,,,50,,100,,,,,100,50,,,50,,,,,,,,,50,50,50,50,50,,50,50,,,,50,50,50,,,,50,,50,,,,50,100,,100,100,,50,,,,100,,,,50,,,,,,,50,,50,,,,,,,,,50,,,
Complex Carbon Degradation,Salicylate degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
Phototrophy,Rhodopsin,,100,,,100,,100,100,100,100,,100,100,,100,100,,100,100,,,,100,,100,100,100,100,,,100,100,100,100,,,,100,,100,,,,100,100,,,100,100,100,,100,100,100,,,,,,,,,,,,,,,,,,,100,,,,100,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,100,,,,100,100,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phototrophy,Photosystem II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phototrophy,Photosystem I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phototrophy,GSB-Photosystem I reaction centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phototrophy,GSB-Chlorosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phototrophy,RC-LH1 complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,100,,,,,,100,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
