"","Verrucomicrobiales_2582580521","Verrucomicrobia_2582580523","Puniceicoccales_2582580524","Opitutae_2582580546","Verrucomicrobia_2582580559","Verrucomicrobiales_2582580573","Verrucomicrobiales_2582580593","Spartobacteria_2582580607"
"COG0334",0,1,0,0,0,0,1,0
"COG0335",1,1,1,0,1,0,0,1
"COG0336",0,1,1,0,1,1,1,0
"COG0337",1,2,0,1,1,2,1,2
"COG0338",0,0,0,0,0,0,0,0
"COG0339",2,1,1,2,0,2,1,0
"COG0340",0,1,0,1,0,0,1,1
"COG0341",0,0,0,0,0,0,0,0
"COG0342",1,0,1,1,1,1,0,1
"COG0343",1,1,2,1,0,0,1,2
"COG0344",1,1,1,1,0,1,1,1
"COG0345",0,1,1,0,1,1,1,0
"COG0346",1,0,0,0,0,0,1,0
"COG0347",1,1,1,1,0,1,0,2
"COG0348",0,1,0,0,0,0,0,2
"COG0349",0,1,0,0,1,0,0,1
"COG0350",0,0,1,0,0,0,0,1
"COG0351",0,1,0,1,1,1,1,0
"COG0352",0,1,2,2,0,1,1,1
"COG0353",1,1,1,1,1,1,0,0
"COG0354",1,1,1,1,0,0,1,1
"COG0355",0,1,0,1,0,0,1,1
"COG0356",0,1,0,1,0,0,1,1
"COG0357",0,0,1,1,0,0,0,0
"COG0358",1,0,1,1,1,1,1,1
"COG0359",1,0,1,1,1,1,1,1
"COG0360",1,0,1,1,1,0,0,1
"COG0361",1,2,1,1,0,2,1,3
"COG0362",2,1,1,1,0,1,0,1
"COG0363",0,1,3,3,0,1,0,0
"COG0364",1,1,1,0,1,1,0,1
"COG0365",1,1,1,1,0,1,1,3
"COG0366",1,1,0,0,0,2,0,1
"COG0367",0,0,1,0,0,0,1,0
"COG0368",0,0,0,0,0,0,0,0
"COG0369",0,2,0,0,0,1,0,0
"COG0370",0,0,1,0,1,0,2,1
"COG0371",0,0,0,0,0,0,0,0
"COG0372",1,1,1,0,1,0,1,0
"COG0373",0,1,1,1,1,0,1,1
"COG0374",0,0,0,0,0,0,0,0
"COG0375",0,0,0,0,1,0,0,0
"COG0376",1,0,1,1,0,0,0,0
"COG0377",1,1,1,0,0,1,0,2
"COG0378",0,0,0,0,0,0,0,0
"COG0379",1,0,1,2,0,1,1,1
"COG0380",0,0,0,0,0,0,0,0
"COG0381",0,0,1,0,0,0,0,0
"COG0382",0,0,0,0,1,1,0,0
"COG0383",0,0,0,0,1,0,0,0
"COG0384",0,0,0,0,0,0,0,1
"COG0385",1,1,0,0,0,0,0,0
"COG0386",0,0,0,1,0,0,0,2
"COG0387",0,0,0,0,0,0,0,0
"COG0388",2,3,1,4,0,1,4,1
"COG0389",0,0,1,1,1,0,0,0
"COG0390",0,0,0,0,0,0,0,0
"COG0391",0,0,0,0,0,0,0,0
"COG0392",0,0,0,0,0,0,1,1
"COG0393",0,0,0,0,0,0,0,0
"COG0394",2,1,4,4,1,2,2,0
"COG0395",0,0,0,0,0,0,0,0
"COG0396",0,1,0,0,0,1,0,1
"COG0397",0,0,0,0,0,1,1,1
"COG0398",1,1,1,1,0,0,2,2
"COG0399",0,0,2,0,2,0,0,1
"COG0400",1,0,0,0,0,0,0,0
"COG0401",0,0,0,0,0,0,0,0
"COG0402",0,0,0,0,0,0,0,2
"COG0403",1,0,0,0,0,0,0,0
"COG0404",1,1,1,0,0,0,0,1
"COG0405",0,0,0,0,0,0,1,1
"COG0406",0,0,0,0,0,0,1,1
"COG0407",0,0,1,1,2,0,0,0
"COG0408",0,0,1,1,0,0,0,0
"COG0409",0,0,0,0,0,0,0,0
"COG0410",1,0,0,0,0,0,0,1
"COG0411",0,0,0,0,0,0,0,1
"COG0412",0,1,1,1,0,0,2,2
"COG0413",2,1,0,1,0,1,2,1
"COG0414",0,1,1,1,1,1,1,1
"COG0415",1,0,1,0,0,1,0,1
"COG0416",0,1,1,1,1,1,1,1
"COG0417",0,0,0,0,0,0,0,0
"COG0418",0,0,0,0,0,0,0,0
"COG0419",1,0,0,0,0,0,0,0
"COG0420",1,0,0,0,0,0,1,0
"COG0421",0,0,0,0,0,0,0,0
"COG0422",0,0,1,1,1,0,0,1
"COG0423",0,1,1,1,1,0,1,2
"COG0424",1,1,1,1,1,1,1,1
"COG0425",0,0,0,0,0,0,0,0
"COG0426",0,0,0,0,0,0,0,0
"COG0427",0,0,0,0,0,0,0,1
"COG0428",0,0,0,0,0,0,0,0
"COG0429",0,1,0,0,0,0,0,0
"COG0430",0,0,0,0,0,0,0,0
"COG0431",1,0,0,0,0,0,0,0
"COG0432",1,1,0,0,0,1,0,1
"COG0433",0,0,0,0,0,0,0,0
"COG0434",0,0,0,0,0,0,0,0
"COG0435",0,0,0,0,0,0,0,0
"COG0436",4,3,2,7,1,1,3,3
"COG0437",1,1,0,1,0,0,0,1
"COG0438",2,1,4,0,4,2,6,16
"COG0439",0,0,0,0,0,0,0,1
"COG0440",1,1,0,0,1,0,1,1
"COG0441",0,0,1,1,0,1,0,0
"COG0442",1,0,0,1,1,1,1,1
"COG0443",1,0,2,1,0,2,1,2
"COG0444",1,1,1,1,1,1,2,1
"COG0445",0,1,0,1,0,0,0,0
"COG0446",1,0,1,0,0,0,1,0
"COG0447",1,1,1,1,0,1,1,0
"COG0448",0,0,1,1,0,0,1,1
"COG0449",0,0,1,1,0,0,1,1
"COG0450",0,0,0,0,0,0,0,0
"COG0451",2,1,4,3,3,2,6,6
"COG0452",0,0,0,0,0,0,0,0
"COG0455",0,0,0,0,0,0,0,0
"COG0456",0,1,0,0,0,0,1,2
"COG0457",0,0,0,0,0,0,0,0
"COG0458",0,1,2,2,0,1,0,0
"COG0459",0,0,1,0,0,0,0,1
"COG0460",1,0,2,1,1,0,0,1
"COG0461",1,0,1,0,1,1,1,0
"COG0462",1,1,1,1,1,1,0,1
"COG0463",0,1,0,0,0,2,4,5
"COG0464",0,0,0,0,0,0,0,0
"COG0465",0,0,1,1,1,1,1,1
"COG0466",0,0,0,0,0,0,0,0
"COG0467",0,0,0,0,1,0,0,0
"COG0468",1,1,1,1,1,1,0,1
"COG0469",0,1,0,1,0,0,0,1
"COG0471",2,2,0,0,0,0,1,0
"COG0472",1,1,1,1,1,1,2,1
"COG0473",0,1,0,1,1,0,2,1
"COG0474",0,1,0,0,1,1,0,1
"COG0475",2,2,0,0,1,0,2,2
"COG0476",0,1,1,1,1,0,1,1
"COG0479",1,1,0,0,0,1,1,1
"COG0480",0,2,0,0,4,2,0,0
"COG0481",1,1,2,0,1,1,0,1
"COG0482",0,1,1,1,1,1,0,0
"COG0483",0,1,2,2,0,0,1,1
"COG0484",0,1,0,1,0,1,0,1
"COG0486",1,1,1,1,1,1,1,0
"COG0488",1,2,2,3,1,1,3,3
"COG0489",1,2,2,2,0,0,2,3
"COG0490",0,0,0,0,0,0,0,0
